,specificity,actionability,compliance,outcome_evidence,risk_tone,transparency,TOS_final,NameOfTheCompany,Sector,min_TOS,max_TOS,TOS_range,SRS,Risk_Category
107,0.3,0.7778,0.10229499999999998,0.9,0.7444333333333334,0.6399999999999999,0.5974623333333334,Chalet Hotels Limited,"Professional, Scientific and Technical Activities",0.24088,0.5974623333333334,0.35658233333333345,100.0,Very Low Risk
108,0.0,0.7778,0.09624124999999999,0.25,0.6864625000000001,0.4475,0.3408295,Chambal Fertilisers and Chemicals Limited,Transportation and Storage,0.27448,0.5792004000000001,0.30472040000000006,21.77389501982801,High Risk
109,0.0,0.5556,0.02074,0.45,1.0,0.43999999999999995,0.37226800000000004,Choice International Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,28.259040902274148,High Risk
110,0.0,0.7778,0.0854,0.25,0.6361,0.45999999999999996,0.33425000000000005,Cholamandalam Financial Holdings Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,18.37066544186385,Very High Risk
111,0.0,0.5556,0.08296,0.25,0.77915,0.43999999999999995,0.30262700000000003,Cholamandalam Investment and Finance Company Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,10.145611594092923,Very High Risk
112,0.0,0.5556,0.0488,0.25,0.35,0.2,0.24088,Cigniti Technologies Limited,"Professional, Scientific and Technical Activities",0.24088,0.5974623333333334,0.35658233333333345,0.0,Very High Risk
113,0.0,0.5556,0.0732,0.25,0.675,0.75,0.30576000000000003,Cipla Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,10.335389183568026,Very High Risk
114,0.0,0.7778,0.044408,0.45,0.7166599999999999,0.44399999999999995,0.39330760000000003,Cochin Shipyard Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,31.807589422944858,High Risk
115,0.0,0.5556,0.0430325,0.45,0.7270749999999999,0.43999999999999995,0.349434,Coforge Limited,Information and Communication,0.26639799999999997,0.6698440000000001,0.40344600000000014,20.581688751406638,High Risk
116,0.0,0.7778,0.04144,0.25,0.8375,0.4,0.342598,Computer Age Management Services Limited,Information and Communication,0.26639799999999997,0.6698440000000001,0.40344600000000014,18.88728603084428,Very High Risk
117,0.0,0.5556,0.083475,0.25,0.61665,0.2,0.27448,Container Corporation of India Limited,Transportation and Storage,0.27448,0.5792004000000001,0.30472040000000006,0.0,Very High Risk
118,0.0,0.5556,0.04148,0.25,0.7562500000000001,0.43499999999999994,0.29179099999999997,CreditAccess Grameen Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,7.327198303309433,Very High Risk
119,0.0,0.7778,0.059595,0.45,0.6749999999999999,0.2,0.37997900000000007,Crompton Greaves Consumer Electricals Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,28.53857498839089,High Risk
120,0.0,0.5556,0.05542285714285714,0.25,0.6749999999999999,0.6071428571428571,0.29506171428571426,Cummins India Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,7.711493918875348,Very High Risk
121,0.0,0.5556,0.02074,0.25,0.675,0.43999999999999995,0.279768,D. B. Corp Limited (‘the Company’ or ‘DBCL’),"Professional, Scientific and Technical Activities",0.24088,0.5974623333333334,0.35658233333333345,10.905756220863436,Very High Risk
122,0.65,0.7778,0.060024,0.7,0.9349999999999999,0.424,0.5897648000000001,D. P. Abhushan Limited,"Water Supply; Sewerage, Waste Management and Remediation Activities",0.27752,0.5897648000000001,0.3122448000000001,100.0,Very Low Risk
123,0.0,0.5556,0.083475,0.25,0.675,0.2,0.280315,DCB Bank Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,4.34232280266057,Very High Risk
124,0.0,0.7778,0.07824625,0.45,0.6458250000000001,0.425,0.3920417500000001,DCM Shriram Limited,"Electricity, Gas, Steam and Air Conditioning Supply",0.2685,0.5983539999999999,0.3298539999999999,37.453464259945335,High Risk
125,0.0,0.5556,0.0695,0.25,0.675,0.2,0.27752,DEE Development Engineers Limited,"Water Supply; Sewerage, Waste Management and Remediation Activities",0.27752,0.5897648000000001,0.3122448000000001,0.0,Very High Risk
126,0.0,0.7778,0.08503000000000001,0.25,0.6361,0.45999999999999996,0.33417600000000003,DEEPAK FERTILISERS AND PETROCHEMICALS CORPORATION LIMITED,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,17.30478688267265,Very High Risk
127,0.0,0.7778,0.15286,0.25,0.9766600000000001,0.40399999999999997,0.37899800000000006,DEN Networks Limited,Information and Communication,0.26639799999999997,0.6698440000000001,0.40344600000000014,27.909559147940506,High Risk
128,0.0,0.5556,0.077104,0.25,0.84666,0.618,0.3171068,DR. LAL PATH LABS LTD.,Human Health and Social Work Activities,0.27147,0.5622995,0.29082949999999996,15.691943217589701,Very High Risk
129,0.0,0.5556,0.06222,0.25,0.675,0.7,0.30106399999999994,Dalmia Bharat Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,9.183633426424306,Very High Risk
130,0.0,0.5556,0.128015,0.25,0.61665,0.6399999999999999,0.305388,Dalmia Bharat Sugar and Industries Limited,"Electricity, Gas, Steam and Air Conditioning Supply",0.2685,0.5983539999999999,0.3298539999999999,11.18312950578134,Very High Risk
131,0.0,0.7778,0.06258428571428572,0.25,0.6583285714285714,0.6442857142857142,0.341124,Data Patterns (India) Limited,"Professional, Scientific and Technical Activities",0.24088,0.5974623333333334,0.35658233333333345,28.112441539915494,High Risk
132,0.0,0.7778,0.06273000000000001,0.25,1.0,0.44399999999999995,0.365306,Deep Industries Limited,"Professional, Scientific and Technical Activities",0.24088,0.5974623333333334,0.35658233333333345,34.89404504055631,High Risk
133,0.0,0.5556,0.0488,0.25,0.675,0.2,0.27338,Deepak Nitrite Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,2.393768353859132,Very High Risk
134,0.0,0.7778,0.04331,0.25,0.6458250000000001,0.46,0.32680450000000005,Delhivery Limited,Transportation and Storage,0.27448,0.5792004000000001,0.30472040000000006,17.171315080972605,Very High Risk
135,0.0,0.7778,0.088594,0.45,0.8699999999999999,0.46399999999999997,0.41847880000000004,Dhampur Bio Organics Limited,"Electricity, Gas, Steam and Air Conditioning Supply",0.2685,0.5983539999999999,0.3298539999999999,45.468237462635,Medium Risk
136,0.0,0.5556,0.04392,0.25,1.0,0.2,0.304904,Dhani Services Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,10.73785292512964,Very High Risk
137,0.0,0.5556,0.02074,0.25,0.8375,0.2,0.284018,Dhunseri Ventures Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,5.305462745053633,Very High Risk
138,0.0,0.5556,0.07722,0.25,0.7166600000000001,0.42799999999999994,0.29463,Dilip Buildcon Limited,Construction,0.26362,0.6428337647058824,0.37921376470588236,8.177445780231974,Very High Risk
139,0.0,0.5556,0.0692625,0.25,0.6166750000000001,0.61,0.29213999999999996,Dish TV India Limited,Information and Communication,0.26639799999999997,0.6698440000000001,0.40344600000000014,6.3805317192387525,Very High Risk
140,0.0,0.5556,0.06588,0.25,0.6361,0.38333333333333336,0.28207266666666664,Dishman Carbogen Amcis Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,4.525759171206748,Very High Risk
141,0.0,0.7778,0.066915,0.25,0.65555,0.4533333333333333,0.3321646666666667,Divi''s Laboratories Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,16.811480931607562,Very High Risk
142,0.0,0.5556,0.0732,0.25,0.675,0.2,0.27826,Dolat Algotech Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,3.80782305067091,Very High Risk
143,0.0,0.5556,0.07039000000000001,0.25,0.5972000000000001,0.41666666666666674,0.2807513333333333,Dredging Corporation of India Limited,Information and Communication,0.26639799999999997,0.6698440000000001,0.40344600000000014,3.557683886649843,Very High Risk
144,0.45,0.7778,0.04148,0.7,0.675,0.5,0.533856,E.I.D.-Parry (India) Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,66.27893287638082,Low Risk
145,0.0,0.5556,0.06795,0.25,0.7444333333333333,0.6433333333333333,0.30632000000000004,EIH Associated Hotels Limited,"Professional, Scientific and Technical Activities",0.24088,0.5974623333333334,0.35658233333333345,18.352002856750243,Very High Risk
146,0.0,0.7778,0.059918,0.45,0.65166,0.594,0.39740960000000003,EKI Energy Services Limited,"Professional, Scientific and Technical Activities",0.24088,0.5974623333333334,0.35658233333333345,43.89718316573918,Medium Risk
147,0.0,0.7778,0.0488,0.25,0.8375,0.4,0.34407000000000004,EMS LIMITED,Construction,0.26362,0.6428337647058824,0.37921376470588236,21.214947211211314,High Risk
148,0.0,0.5556,0.166435,0.25,0.61665,0.2,0.29107200000000005,EMUDHRA LIMITED,Information and Communication,0.26639799999999997,0.6698440000000001,0.40344600000000014,6.115812277231669,Very High Risk
149,0.0,0.7778,0.016042499999999998,0.45,0.675,0.41,0.38176850000000007,ESAF Small Finance Bank Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,30.73009437856507,High Risk
150,0.0,0.5556,0.04331,0.25,0.970825,0.2,0.30186450000000004,ETHOS LIMITED,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,0.26362,0.6177271111111111,0.3541071111111111,10.800263197199596,Very High Risk
151,0.0,0.5556,0.0488,0.25,0.675,0.45000000000000007,0.28588,EXPLEO SOLUTIONS LIMITED,Information and Communication,0.26639799999999997,0.6698440000000001,0.40344600000000014,4.82889903481508,Very High Risk
152,0.0,0.7778,0.09638,0.25,1.0,0.375,0.368586,Edelweiss Financial Services Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,27.301363001142292,High Risk
153,0.3,0.7778,0.13055624999999998,0.7,0.7270875000000001,0.6124999999999999,0.5400050000000001,Electrosteel Castings Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,67.7870559919423,Low Risk
154,0.45,0.7778,0.04148,0.7,0.74,0.37,0.533856,Endurance Technologies Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,66.27893287638082,Low Risk
155,0.0,0.5556,0.08113000000000001,0.45,0.75,0.43999999999999995,0.359346,Entero Healthcare Solutions Limited,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,0.26362,0.6177271111111111,0.3541071111111111,27.033063442197648,High Risk
156,0.0,0.7778,0.06218,0.25,0.8375,0.4,0.34674600000000005,Entertainment Network (India) Limited,Information and Communication,0.26639799999999997,0.6698440000000001,0.40344600000000014,19.915428582759542,Very High Risk
157,0.0,0.5556,0.07846199999999999,0.25,0.6283200000000001,0.452,0.2872444,Equinox India Developments Limited,"Professional, Scientific and Technical Activities",0.24088,0.5974623333333334,0.35658233333333345,13.002438894430174,Very High Risk
158,0.45,1.0,0.09855235294117647,0.9,0.7102823529411766,0.3970588235294118,0.6480916470588235,Equitas Small Finance Bank Limited,Financial and Insurance Activities,0.26362,0.6480916470588235,0.3844716470588235,100.0,Very Low Risk
159,0.0,0.7778,0.0764325,0.45,0.7562500000000001,0.2,0.39147150000000003,Escorts Kubota Limited,Manufacturing,0.26362,0.6713453333333333,0.40772533333333333,31.35726175137511,High Risk
