NameOfTheCompany,Sector,P3_1_raw,P3_2_raw,P3_3_raw,P3_4_raw,P3_5_raw,P3_6_raw,P5_1_raw,P5_2_raw,P5_3_raw,P5_4_raw,P8_1_raw,P8_2_raw,P9_1_raw,P3_1_score,P3_2_score,P3_3_score,P3_4_score,P3_5_score,P3_6_score,P5_1_score,P5_2_score,P5_3_score,P5_4_score,P8_1_score,P8_2_score,P9_1_score,P3_composite,P5_composite,P8_composite,P9_composite,fatality_flag,flag_A,flag_B,flag_C,flag_D,social_quant_score,global_scored,final_social_score
Bajaj Healthcare Limited,Manufacturing,1.0,0.25,0.0015010456529094974,0.0,1.0,1.0,1.0,0.9116091265815894,0.5,0.0,0.395,0.0,0.0,34.89254108723135,20.606826801517066,37.05357142857143,0.0,10.429835651074598,23.794416243654823,7.458912768647281,49.3573264781491,60.93552465233881,38.91752577319588,52.149178255372945,63.93775372124493,80.53097345132744,21.129531868674878,39.16732241808277,58.04346598830894,80.53097345132744,0,0,0,0,0,38.919992837178,False,
Bajel Projects Limited,Manufacturing,1.0,0.375,0.0004000000000334866,0.0,0.83545,0.6709,0.4089833333333333,0.8990108120542903,0.5,0.0,0.635,0.0,0.0,34.89254108723135,40.07585335018963,70.53571428571428,90.0,40.202275600505686,82.48730964467005,62.45259165613148,51.54241645244216,60.93552465233881,38.91752577319588,11.504424778761063,63.93775372124493,80.53097345132744,90.0,53.46201463352708,37.721089250003,80.53097345132744,1,0,0,0,0,68.42296585436767,False,
Balaji Amines Limited,Manufacturing,1.0,0.75,0.0004125531636982337,0.72,0.9238,1.0,0.8333333333333334,0.858739265759178,0.6,0.0,0.24975000000000003,0.0,0.0,34.89254108723135,80.65739570164348,70.08928571428572,90.0,29.70922882427307,23.794416243654823,24.525916561314787,56.55526992287918,45.259165613147914,38.91752577319588,69.02654867256638,63.93775372124493,80.53097345132744,90.0,41.31446946763444,66.48215119690565,80.53097345132744,1,0,0,0,0,68.48548433834064,False,
Balmer Lawrie & Company Limited,Manufacturing,1.0,0.4375,0.0003349104988891571,0.14,0.607,1.0,0.041916666666666665,0.7585734173906171,0.0,0.0,0.08215,0.0,1.0,34.89254108723135,47.97724399494311,74.25595238095238,65.23388116308469,64.22250316055626,23.794416243654823,86.85208596713022,71.46529562982005,89.25410872313527,38.91752577319588,82.55372945638432,63.93775372124493,16.56131479140329,51.72942300507043,71.62225402332035,73.24574158881462,16.56131479140329,0,0,0,0,0,58.40255082765282,False,
Barbeque-Nation Hospitality Limited,Manufacturing,1.0,1.0,0.0008206360196934282,0.79,1.0,1.0,0.4796833333333333,0.7026771810079189,1.0,0.003236245954692557,0.6186,0.0,0.055333333333333325,34.89254108723135,93.8685208596713,52.529761904761905,83.69152970922882,10.429835651074598,23.794416243654823,57.77496839443742,78.40616966580977,17.38305941845765,86.08247422680412,13.96965865992415,63.93775372124493,60.42983565107459,49.86776757593714,59.91166792637724,38.95370619058454,60.42983565107459,0,0,0,0,0,52.80223029830202,False,
Bayer CropScience Limited,Manufacturing,1.0,0.25,0.00011099999999999999,0.0,0.6568,1.0,1.0,0.8647058823529412,1.0,0.0029498525073746312,0.275,0.0006963658993383998,1.0,34.89254108723135,20.606826801517066,87.5,0.0,59.797724399494314,23.794416243654823,7.458912768647281,55.7840616966581,17.38305941845765,85.30927835051546,67.63590391908976,0.40595399188092074,16.56131479140329,37.765251421982924,41.48382805856962,34.02092895548534,90.0,0,0,0,0,1,43.72857973261534,False,
Bhansali Engineering Polymers Limited,Manufacturing,0.5,0.0,1.3875118384492216e-06,0.0,1.0,1.0,0.54155,0.997134670487106,0.0,0.0,0.02255,0.0,1.0,88.62199747155499,2.5284450063211126,93.45238095238095,0.0,10.429835651074598,23.794416243654823,49.81036662452591,38.04627249357326,89.25410872313527,38.91752577319588,86.5992414664981,63.93775372124493,16.56131479140329,36.47117922083108,54.00706840360758,75.26849759387152,16.56131479140329,0,0,0,0,0,46.437351747816145,False,
Bharat Bijlee Limited,Manufacturing,1.0,0.25,0.002439697621278862,1.89,0.6329,0.7909,0.5893833333333333,0.9464215456868453,0.5,0.0,0.64245,2.136206356796648e-11,0.6666666666666666,34.89254108723135,20.606826801517066,25.89285714285714,90.0126422250316,62.32616940581542,74.74619289340102,47.02907711757269,44.601542416452446,60.93552465233881,38.91752577319588,10.493046776232617,12.584573748308529,40.58154235145386,51.41287159264226,47.870917489889955,11.538810262270573,40.58154235145386,0,0,0,0,0,43.108945533004366,False,
Bharat Dynamics Limited,Manufacturing,1.0,0.2566062499999999,2.1736606272526142e-11,0.0,0.32515,0.4747,0.0,0.9043975670265267,0.0,0.006944444444444444,0.6379,6.331050370638681e-16,0.3333333333333333,34.89254108723135,29.582806573957015,94.64285714285714,0.0,87.7370417193426,88.83248730964468,95.448798988622,50.12853470437018,89.25410872313527,89.81958762886599,11.251580278128941,26.792963464140726,52.275600505689,55.9479556388388,81.16275751124836,19.022271871134834,52.275600505689,0,0,0,0,0,58.86704821571156,False,
Bharat Electronics Limited,Manufacturing,1.0,0.25,0.05601659524135625,0.0,0.6312,0.1344,0.025533333333333335,0.9971586270352347,0.0,0.0007352941176470588,0.48460000000000003,1.3115366005868772e-06,1.0,34.89254108723135,20.606826801517066,3.125,0.0,62.45259165613148,92.89340101522842,88.24273072060683,37.91773778920309,89.25410872313527,79.25257731958763,42.098609355246516,5.412719891745596,16.56131479140329,35.66172676001805,73.6667886381332,23.755664623496056,16.56131479140329,0,0,0,0,0,45.26754790001858,False,
