Rank,Company,SS,AS,CCS,OES,RTS,TOS
787,ramky_infrastructure_ltd_2023_2024,0.1385,1.0,0.3333,0.0,1.0,0.368
788,mangalam_cement_ltd_2023_2024,0.3607,1.0,0.1111,0.0,1.0,0.3679
789,orient_paper_industries_ltd_2022_2023,0.0487,0.0,0.2222,0.8,1.0,0.3677
790,yes_bank_ltd_2023_2024,0.2437,1.0,0.2222,0.0,1.0,0.3665
791,andhra_paper_ltd_2023_2024,0.1086,0.6667,0.5556,0.0,1.0,0.366
792,eris_lifesciences_ltd_2023_2024,0.1194,0.6667,0.4444,0.3,0.5,0.366
793,gujarat_mineral_development_corporation_ltd_2022_2023,0.1413,0.6667,0.2222,0.3,1.0,0.3659
794,max_healthcare_institute_ltd_2023_2024,0.118,0.6667,0.4444,0.5,0.0,0.3656
795,aegis_logistics_ltd_2023_2024,0.2162,1.0,0.4444,0.0,0.5,0.3652
796,elecon_engineering_coltd_2023_2024,0.1043,0.6667,0.5556,0.0,1.0,0.365
797,lincoln_pharmaceuticals_ltd_2023_2024,0.3366,1.0,0.2222,0.3,0.0,0.3647
798,glenmark_life_sciences_ltd_2023_2024,0.1006,0.6667,0.5556,0.0,1.0,0.364
799,kirloskar_industries_ltd_2023_2024,0.1194,0.0,0.3333,1.0,0.0,0.3632
800,sepc_ltd_2023_2024,0.1156,0.0,0.3333,1.0,0.0,0.3622
801,cms_info_systems_ltd_2023_2024,0.2924,1.0,0.5556,0.0,0.0,0.362
802,bajaj_holdings_investment_ltd_2023_2024,0.1803,1.0,0.6667,0.0,0.0,0.3618
803,suprajit_engineering_ltd_2023_2024,0.1024,0.0,0.4444,0.7,0.5,0.3617
804,yasho_industries_ltd_2023_2024,0.3128,1.0,0.3333,0.0,0.5,0.3615
805,lakshmi_machine_works_ltd_2023_2024,0.1006,0.0,0.4444,0.7,0.5,0.3613
806,moldtek_packaging_limited_2023_2024,0.2113,1.0,0.3333,0.3,0.0,0.3612
807,choice_international_ltd_2023_2024,0.2171,1.0,0.2222,0.0,1.0,0.3598
808,ddev_plastiks_industries_ltd_2023_2024,0.0934,0.6667,0.4444,0.3,0.5,0.3595
809,ifb_industries_ltd_2023_2024,0.1927,1.0,0.4444,0.0,0.5,0.3593
810,balkrishna_industries_ltd_2023_2024,0.1698,1.0,0.6667,0.0,0.0,0.3591
811,britannia_industries_ltd_2023_2024,0.3018,1.0,0.3333,0.0,0.5,0.3588
812,texmaco_rail_engineering_ltd_2023_2024,0.3018,1.0,0.3333,0.0,0.5,0.3588
813,ashoka_buildcon_ltd_2023_2024,0.3119,1.0,0.2222,0.3,0.0,0.3585
814,marathon_nextgen_realty_ltd_2023_2024,0.1895,1.0,0.4444,0.0,0.5,0.3585
